image,tp,fp,fn,precision,recall,f1,mean_iou,num_preds,num_gts
65_png.rf.bf01870f42902e37a19a180463cc39ae.jpg,5,3,3,0.625,0.625,0.624999999,0.622598827,8,8
418_png.rf.952c07aa736f41ba93762c328251f33a.jpg,5,3,3,0.625,0.625,0.624999999,0.619888425,8,8
426_png.rf.35ece0a6b51ea5fb8db9e71f2eff7d57.jpg,13,11,5,0.541666667,0.722222222,0.619047619,0.726272166,24,18
206_png.rf.78624caef2e7cd74ff7acf7b8b138dbd.jpg,12,14,1,0.461538462,0.923076923,0.615384615,0.668786824,26,13
305_png.rf.e2b3d8b96722c5e1403c024d08ebb3c4.jpg,4,4,1,0.5,0.8,0.615384615,0.805415213,8,5
21_png.rf.1d68ce84e42d753c399ad67394486412.jpg,4,4,1,0.5,0.8,0.615384615,0.712234378,8,5
5_png.rf.43277aa78e854be979488918821170f5.jpg,6,6,2,0.5,0.75,0.599999999,0.674823582,12,8
1_png.rf.768dd1121ece6374f5499194e2864133.jpg,6,6,2,0.5,0.75,0.599999999,0.669502437,12,8
419_png.rf.67df54ec1737de45f4fe4d2913e3284d.jpg,6,5,3,0.545454545,0.666666667,0.599999999,0.659202993,11,9
18_png.rf.9404eac679fef0cb39b741653ee95818.jpg,5,6,1,0.454545455,0.833333333,0.588235294,0.741105199,11,6
201_png.rf.754cab1a8a04070ba98477b86f41b985.jpg,5,4,3,0.555555555,0.625,0.588235294,0.69598794,9,8
60_png.rf.543655dd92e4992ff3dee9e88cb0b4e1.jpg,5,4,3,0.555555555,0.625,0.588235294,0.673197687,9,8
57_png.rf.51d3c33c930fb4c6678da80f73f3c48e.jpg,5,4,3,0.555555555,0.625,0.588235294,0.65999788,9,8
438_png.rf.0a9999cc42d0633ea6bb9adadbb130c9.jpg,7,6,4,0.538461538,0.636363636,0.583333333,0.644498348,13,11
204_png.rf.5c7c2096eeb2553cfc5df08d1e240d31.jpg,11,12,4,0.47826087,0.733333333,0.578947368,0.755413949,23,15
19_png.rf.5c118a94dc737b7c162f2ebe39558ac6.jpg,4,6,0,0.4,1,0.571428571,0.765001893,10,4
202_png.rf.7093da4733c4bb936615bb2a361f75e0.jpg,6,7,2,0.461538462,0.75,0.571428571,0.708727598,13,8
36_png.rf.13bfc7f76b5d22e507668d3c83ac31e8.jpg,4,4,2,0.5,0.666666667,0.571428571,0.727731645,8,6
315_png.rf.b6c2afd6ecf9844d2a61543e10ac6682.jpg,4,4,2,0.5,0.666666667,0.571428571,0.693391919,8,6
311_png.rf.90c893aa39debee830f1f6fbceddae32.jpg,4,4,2,0.5,0.666666667,0.571428571,0.623246074,8,6
32_png.rf.abeacc06abb7456ba708abde3ae41892.jpg,7,8,3,0.466666667,0.7,0.559999999,0.726524234,15,10
37_png.rf.ab5da1c414f8530b090f8c6288057760.jpg,7,8,3,0.466666667,0.7,0.559999999,0.685198188,15,10
45_png.rf.f9a7a24c28c5f996cfb3f110a771c2b7.jpg,5,4,4,0.555555555,0.555555555,0.555555555,0.605247259,9,9
308_png.rf.3188fc1b57ff5ef39a363aad0154b732.jpg,3,3,2,0.5,0.6,0.545454545,0.774274111,6,5
47_png.rf.2bb0d1af7458787d1517ea459abe9a7b.jpg,4,5,2,0.444444444,0.666666667,0.533333333,0.663561821,9,6
319_png.rf.914275abf188c555e810b774fb562a5a.jpg,4,5,2,0.444444444,0.666666667,0.533333333,0.616950989,9,6
212_png.rf.5c31029a1e21c07c346255b78c751950.jpg,4,4,3,0.5,0.571428571,0.533333333,0.708194256,8,7
56_png.rf.e7d05a0108bcec56b104b3ab833c6aed.jpg,4,3,4,0.571428571,0.5,0.533333333,0.567849517,7,8
10_png.rf.c848107eb563ecff3b21c61f9429cc10.jpg,5,6,3,0.454545455,0.625,0.526315789,0.697401047,11,8
67_png.rf.51768a0a337eee50c4af2ae0f1f600db.jpg,5,4,5,0.555555555,0.5,0.526315789,0.628021896,9,10
46_png.rf.e2df46f1efc1bbb01a90cd9f2bff031a.jpg,6,9,3,0.4,0.666666667,0.499999999,0.65258646,15,9
427_png.rf.c761754cb389c478f6acfc6fb0b52fa2.jpg,9,8,10,0.529411765,0.473684211,0.499999999,0.647362649,17,19
209_png.rf.4e78997a959f9d959d4a8bc0570330c7.jpg,5,7,3,0.416666667,0.625,0.499999999,0.709388316,12,8
301_png.rf.068324c63b7b682ee70c397947d447dc.jpg,4,6,2,0.4,0.666666667,0.499999999,0.733759046,10,6
11_png.rf.798637d745bc08d51794aab3efa19794.jpg,4,6,2,0.4,0.666666667,0.499999999,0.699651897,10,6
306_png.rf.0985cb212e75d3d14d9112c46e4c214c.jpg,4,6,2,0.4,0.666666667,0.499999999,0.631076097,10,6
7_png.rf.2f022eb05f017310b94f2545cffffe21.jpg,4,5,3,0.444444444,0.571428571,0.499999999,0.693191588,9,7
66_png.rf.413e6c2b6ced85caa7db3df7f14e5126.jpg,4,4,4,0.5,0.5,0.499999999,0.75018096,8,8
54_png.rf.a041561f5a8ef36089af3db2971f67cf.jpg,4,4,4,0.5,0.5,0.499999999,0.687273324,8,8
51_png.rf.3c16f6f6e1d4544a6251d8d46ff96b23.jpg,4,4,4,0.5,0.5,0.499999999,0.628302693,8,8
423_png.rf.5c9c781c63c5a5d9208b8265fa38be25.jpg,9,10,9,0.473684211,0.5,0.486486486,0.68075037,19,18
24_png.rf.74aa2c319c4159e949d144594d338cf2.jpg,5,6,5,0.454545455,0.5,0.476190476,0.640402198,11,10
314_png.rf.95be9f39e87dd8bcd211dbe7b7525c42.jpg,4,7,2,0.363636364,0.666666667,0.470588235,0.683501363,11,6
214_png.rf.f6fde24db7b8bbaebe988eeb3ace5ba8.jpg,4,5,4,0.444444444,0.5,0.470588235,0.777107775,9,8
48_png.rf.9afade855fb46c771a8864ea9561d0f7.jpg,4,5,4,0.444444444,0.5,0.470588235,0.640599847,9,8
117_png.rf.8a6b0d13779b4b35847cb6310fa776a1.jpg,7,10,6,0.411764706,0.538461538,0.466666666,0.598051608,17,13
446_png.rf.a4f5d11b146e507ed84875fa73af918f.jpg,7,8,8,0.466666667,0.466666667,0.466666666,0.559181809,15,15
312_png.rf.64bfe5416164d1c33cb46414eaa93286.jpg,3,5,2,0.375,0.6,0.461538461,0.709423542,8,5
83_png.rf.f8ab6e63b5ebda9de2d4577d637cdd56.jpg,3,4,3,0.428571429,0.5,0.461538461,0.644020915,7,6
113_png.rf.fa21819d57891eafeb60a3fcc1505330.jpg,5,7,5,0.416666667,0.5,0.454545454,0.591343999,12,10
411_png.rf.d84e9c581822022156bfed052a699831.jpg,4,7,3,0.363636364,0.571428571,0.444444444,0.688597202,11,7
211_png.rf.7611c7aa41fd5e4c6077ae212e714850.jpg,4,7,3,0.363636364,0.571428571,0.444444444,0.652819991,11,7
52_png.rf.8ec35e4a93ce7ae2620ae4c73228d89d.jpg,4,6,4,0.4,0.5,0.444444444,0.704881966,10,8
63_png.rf.5ac60fc17621ba79927bce7de0afdc35.jpg,4,6,4,0.4,0.5,0.444444444,0.683831096,10,8
59_png.rf.9e2af4f1d335c56151a38152748abcc3.jpg,4,6,4,0.4,0.5,0.444444444,0.648621976,10,8
81_png.rf.6dc1b494cf7e6cbcbe22f7377933cdc7.jpg,4,5,5,0.444444444,0.444444444,0.444444444,0.662221551,9,9
68_png.rf.f2227d180ac0841f93a273ef56a41ccc.jpg,5,8,5,0.384615385,0.5,0.434782608,0.730693042,13,10
421_png.rf.857594e8bb12cfd360c1f2f17f418a2d.jpg,5,7,6,0.416666667,0.454545455,0.434782608,0.672131419,12,11
114_png.rf.211c672d2398d084aef59ca9e394e8b9.jpg,8,14,7,0.363636364,0.533333333,0.432432432,0.628192663,22,15
40_png.rf.cd33efd095603243027b7cf0797e4084.jpg,4,7,4,0.363636364,0.5,0.421052631,0.638368368,11,8
105_png.rf.ccfe2d8c9643fc288d6abf89ffae27b7.jpg,5,8,6,0.384615385,0.454545455,0.416666666,0.60859102,13,11
420_png.rf.a2f3549f506dc89bc599a789ed1dc169.jpg,8,14,9,0.363636364,0.470588235,0.41025641,0.673927426,22,17
413_png.rf.032e6e20723da737afe207d513490009.jpg,8,13,10,0.380952381,0.444444444,0.41025641,0.598462701,21,18
49_png.rf.e1b787c067a9c1d02c41965d5b33e0be.jpg,4,8,4,0.333333333,0.5,0.399999999,0.623593688,12,8
64_png.rf.2e62511d4086810ae4b96256387dc1d2.jpg,4,8,4,0.333333333,0.5,0.399999999,0.623325825,12,8
310_png.rf.5224370e53c8e65f5f96cae9ec496f08.jpg,3,6,3,0.333333333,0.5,0.399999999,0.666435182,9,6
72_png.rf.6c386cab5e6efb33c5bf5eb02749a080.jpg,4,6,6,0.4,0.4,0.399999999,0.647822857,10,10
82_png.rf.92c84d01d5bbbcafa71dd173abfa6d97.jpg,2,2,4,0.5,0.333333333,0.399999999,0.542177916,4,6
33_png.rf.3c7d8a05d0c3230148698c3daa2dd965.jpg,4,8,5,0.333333333,0.444444444,0.38095238,0.684451222,12,9
75_png.rf.5a557661efce99ae1b2a4cc3701ceab7.jpg,4,7,6,0.363636364,0.4,0.38095238,0.661182225,11,10
50_png.rf.89bc1aabab302ad1326f57d7412a39ad.jpg,3,5,5,0.375,0.375,0.374999999,0.631290019,8,8
78_png.rf.cb9fd33fb7827c0e5ccfff80a229552d.jpg,4,8,6,0.333333333,0.4,0.363636363,0.654603362,12,10
73_png.rf.4a418775d421aacdbcb10ff092c86b0b.jpg,4,8,6,0.333333333,0.4,0.363636363,0.631895244,12,10
408_png.rf.924b578522412dee804db983f35392c5.jpg,5,9,9,0.357142857,0.357142857,0.357142857,0.595348477,14,14
43_png.rf.bf15ea9ef3e08f10cff9a1158dc686ca.jpg,4,7,8,0.363636364,0.333333333,0.347826086,0.639858782,11,12
100_png.rf.ec2c818329223af6285bb5f73085a1a8.jpg,6,15,8,0.285714286,0.428571429,0.342857142,0.676918209,21,14
71_png.rf.d62f732b64369b6b0b92595728e4178c.jpg,4,10,6,0.285714286,0.4,0.333333333,0.68210429,14,10
53_png.rf.2c4cd516b8fb191e74392e680efb1843.jpg,3,7,5,0.3,0.375,0.333333333,0.643740952,10,8
70_png.rf.f1c7b11d95c3194ebbd20fa8f5e955f3.jpg,3,6,6,0.333333333,0.333333333,0.333333333,0.576036155,9,9
87_png.rf.54fd51c4fd7ad17487d3182e43318a73.jpg,5,16,5,0.238095238,0.5,0.322580645,0.658060074,21,10
412_png.rf.41df27d1b88df826de48d39a56e1786f.jpg,5,9,12,0.357142857,0.294117647,0.322580645,0.604844868,14,17
44_png.rf.5e1ed1298b453b819c13611bc925a67d.jpg,4,9,8,0.307692308,0.333333333,0.319999999,0.768011689,13,12
112_png.rf.da9f6f71d4f68eb6c5faf679fe5845c6.jpg,3,8,5,0.272727273,0.375,0.315789473,0.635007203,11,8
428_png.rf.c11c316465770f560351cd0881bc0c12.jpg,12,26,27,0.315789474,0.307692308,0.311688311,0.591764271,38,39
443_png.rf.afd30942e6117841edeb0a8ef836e6fd.jpg,7,13,18,0.35,0.28,0.311111111,0.62610966,20,25
304_png.rf.801587077b654df83136f97d2914b1da.jpg,2,6,3,0.25,0.4,0.307692307,0.653954506,8,5
424_png.rf.cec18aaf767d3d97626f2f7b40d4c542.jpg,4,9,9,0.307692308,0.307692308,0.307692307,0.559797525,13,13
416_png.rf.3c7712c43d3d61bc02aac6e915d10a8f.jpg,5,13,10,0.277777778,0.333333333,0.303030303,0.604832768,18,15
61_png.rf.1d485cae4614e34034beccf13a36f02e.jpg,3,9,5,0.25,0.375,0.299999999,0.777377307,12,8
74_png.rf.3fbb008bdfe4f88b3a305336df30312b.jpg,3,7,7,0.3,0.3,0.299999999,0.580298126,10,10
103_png.rf.fcf9317ef329fe72293516c2bc95ceca.jpg,6,17,12,0.260869565,0.333333333,0.292682926,0.659314513,23,18
99_png.rf.f5089c5d55e987fb3411ccb783459e9d.jpg,6,16,13,0.272727273,0.315789474,0.292682926,0.64940387,22,19
405_png.rf.54eea29f97a7e7e99e6986651c43f123.jpg,6,19,11,0.24,0.352941176,0.285714285,0.615163863,25,17
210_png.rf.6522ee500fef04397f5b53fca47155ea.jpg,5,9,16,0.357142857,0.238095238,0.285714285,0.647489905,14,21
20_png.rf.c14a70ad44e0e08498c896bca3424cce.jpg,3,10,5,0.230769231,0.375,0.285714285,0.681012094,13,8
108_png.rf.5fd26a620eb45ec8edbcf985fdb2a8b6.jpg,3,9,6,0.25,0.333333333,0.285714285,0.863892734,12,9
77_png.rf.810067f32227621d79bfd9d8f3a1f703.jpg,3,8,7,0.272727273,0.3,0.285714285,0.673508406,11,10
69_png.rf.b4bfe2b6c84c398fa5d1ecd466f5041f.jpg,3,8,7,0.272727273,0.3,0.285714285,0.607398927,11,10
42_png.rf.ea8f6884c92fdcd52978b65d51ec0763.jpg,2,6,4,0.25,0.333333333,0.285714285,0.564936638,8,6
433_png.rf.13c830a1eba9c917b01251744cda2c0c.jpg,7,21,15,0.25,0.318181818,0.279999999,0.631985784,28,22
118_png.rf.301a987055c37d52ecf4bc93d42ebfda.jpg,5,13,13,0.277777778,0.277777778,0.277777777,0.643288851,18,18
414_png.rf.835ec7c89edefe39e3c1a0d09a7118a7.jpg,4,12,9,0.25,0.307692308,0.275862068,0.57369864,16,13
318_png.rf.31a021bb9ff75d7428951d391c97425d.jpg,3,11,5,0.214285714,0.375,0.272727272,0.647365987,14,8
119_png.rf.495cc52d995d5b97dd994e66b13c51d1.jpg,5,14,13,0.263157895,0.277777778,0.27027027,0.58803308,19,18
303_png.rf.ebf50d9579cb34077b77214cde3aeba4.jpg,2,8,3,0.2,0.4,0.266666666,0.773013592,10,5
110_png.rf.ef8a5ed7b756a5aa012e23acd4790ac5.jpg,4,13,9,0.235294118,0.307692308,0.266666666,0.70262903,17,13
115_png.rf.9200f5ed44d3c172f53e0fb72609d86a.jpg,3,13,4,0.1875,0.428571429,0.260869565,0.697266281,16,7
98_png.rf.04a288f7453b994ba65b13a1718d76a4.jpg,7,20,20,0.259259259,0.259259259,0.259259259,0.676313341,27,27
432_png.rf.04c66775cff29fbee3390a63b52a2086.jpg,4,14,9,0.222222222,0.307692308,0.258064516,0.579450071,18,13
444_png.rf.faafd2dc6ac429f95e9bdb255372d851.jpg,5,19,10,0.208333333,0.333333333,0.256410256,0.59040153,24,15
317_png.rf.49b5865e6666d0ce9502269dc209220a.jpg,3,13,5,0.1875,0.375,0.25,0.600929558,16,8
92_png.rf.330266c1c52128a5b80d4298520b3d86.jpg,3,12,6,0.2,0.333333333,0.25,0.609120011,15,9
216_png.rf.082a9b74eec732e45fab3ddd9191ed0d.jpg,5,13,17,0.277777778,0.227272727,0.249999999,0.663960278,18,22
422_png.rf.1dffbd810d2454784cbc2af181b33d03.jpg,5,16,14,0.238095238,0.263157895,0.249999999,0.663735271,21,19
410_png.rf.da49b2ce3d7034729eb8450c628262ef.jpg,6,18,20,0.25,0.230769231,0.239999999,0.713046253,24,26
404_png.rf.4655b7c6c867d3275268a0302b5160a1.jpg,5,14,18,0.263157895,0.217391304,0.238095238,0.620435178,19,23
34_png.rf.0f0c39d91e3de5e32ab03885afd43691.jpg,3,13,7,0.1875,0.3,0.23076923,0.61728543,16,10
439_png.rf.ed7908464e300df3ad79371cc549ab13.jpg,3,11,9,0.214285714,0.25,0.23076923,0.629924774,14,12
220_png.rf.279fdafa13c578501197978dc91ce340.jpg,4,20,7,0.166666667,0.363636364,0.228571428,0.566743374,24,11
41_png.rf.9dc6e45aa304b31bd41d0a9870236d47.jpg,2,10,4,0.166666667,0.333333333,0.222222222,0.712929487,12,6
55_png.rf.4c80b59d409c8b57200162c3410942be.jpg,2,8,6,0.2,0.25,0.222222222,0.667743921,10,8
208_png.rf.b2935c4bb30677dc8f68c12e4fabf2a0.jpg,3,16,6,0.157894737,0.333333333,0.214285714,0.733679235,19,9
219_png.rf.f69e9a71f2ff407aaa08de8243ae4a50.jpg,3,15,8,0.166666667,0.272727273,0.206896551,0.587325275,18,11
111_png.rf.d331a406b63953678cbb48dc0f8afbc2.jpg,3,10,13,0.230769231,0.1875,0.206896551,0.601360738,13,16
39_png.rf.3d6ba45c347b14ae373b6a7a4b6fadd9.jpg,1,3,5,0.25,0.166666667,0.199999999,0.52421695,4,6
430_png.rf.56f104798ea9cab68d9cb3a045093d08.jpg,5,20,21,0.2,0.192307692,0.196078431,0.628294885,25,26
425_png.rf.5acd47646cb4ea0a5d298ba306a2847e.jpg,3,15,10,0.166666667,0.230769231,0.193548387,0.736415625,18,13
417_png.rf.0fed36a0b76f776f8224fca64a5ced35.jpg,3,13,12,0.1875,0.2,0.193548387,0.611599386,16,15
441_png.rf.5286dec9df45e8c82dc6ddf820ea27b5.jpg,5,16,26,0.238095238,0.161290323,0.192307692,0.678994,21,31
109_png.rf.0092091ba3d52e143592db626135eb91.jpg,3,19,8,0.136363636,0.272727273,0.181818181,0.757543266,22,11
436_png.rf.9a262e2da9ae79bfd04ac59c4d3268e4.jpg,3,12,15,0.2,0.166666667,0.181818181,0.70909977,15,18
440_png.rf.d1a72d0ffb2f22874985765a1848622f.jpg,4,19,17,0.173913043,0.19047619,0.181818181,0.606641233,23,21
402_png.rf.65d2da0234ae9c5d2af1a1ff787b2e1b.jpg,3,14,14,0.176470588,0.176470588,0.176470588,0.746230185,17,17
403_png.rf.75030e868427134cf5b5b50fb50d54e4.jpg,3,14,16,0.176470588,0.157894737,0.166666666,0.692506492,17,19
313_png.rf.cbbbbc0857dacb18ed5f257932a2d6e6.jpg,1,6,4,0.142857143,0.2,0.166666666,0.680865467,7,5
407_png.rf.fe48f5ff4b20ca3c78be5318762adda0.jpg,3,16,15,0.157894737,0.166666667,0.162162162,0.605285466,19,18
431_png.rf.2c00d48e882bd1a66209305e07756948.jpg,3,16,16,0.157894737,0.157894737,0.157894736,0.666820824,19,19
58_png.rf.5611d23896c07531d5ba882bf4639698.jpg,1,4,7,0.2,0.125,0.153846153,0.608745813,5,8
437_png.rf.e67232a64f6140d4f221e17515c32e91.jpg,3,14,22,0.176470588,0.12,0.142857142,0.663584113,17,25
447_png.rf.c4ce2681a696a43dd6b1205733a2bd90.jpg,3,15,21,0.166666667,0.125,0.142857142,0.657784402,18,24
406_png.rf.011faea1dd6b68a2f2dfe7ee7662effa.jpg,3,21,17,0.125,0.15,0.136363636,0.687054157,24,20
96_png.rf.90f2d40c08943572a75aa0fc8583b03a.jpg,3,24,21,0.111111111,0.125,0.117647058,0.592893898,27,24
442_png.rf.4ab0f19b33f418bc6b637ebe45638f70.jpg,2,15,15,0.117647059,0.117647059,0.117647058,0.643979192,17,17
86_png.rf.fb98a1f294a58038004b0c0db41f9a7c.jpg,2,21,11,0.086956522,0.153846154,0.111111111,0.525433898,23,13
